LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,16,81,16.5%
BASSI BOITANGARE,19,134,12.4%
BASSI BORABU,36,128,22.0%
BASSI CENTRAL,13,214,5.7%
BASSI CHACHE,22,162,12.0%
BASSI MASIGE EAST,13,166,7.3%
BASSI MASIGE WEST,26,173,13.1%
BOGEKA,22,121,15.4%
BOGIAKUMU,50,207,19.5%
BOGUSERO NORTH,28,124,18.4%
BOGUSERO SOUTH,28,113,19.9%
BOMARIBA,32,152,17.4%
BOMORENDA,36,187,16.1%
BOOCHI BORABU,34,123,21.7%
BOSONGO,60,310,16.2%
CHITAGO,17,136,11.1%
GESUSU,26,156,14.3%
GETENGA,10,130,7.1%
GIONSARIA,12,69,14.8%
IBENO,48,137,25.9%
IKORONGO,14,128,9.9%
IYABE,13,160,7.5%
KEGATI,34,125,21.4%
KEGOGI,19,131,12.7%
KEUMBU,47,234,16.7%
KIOGORO,59,139,29.8%
MAGENCHE,55,266,17.1%
MAJOGE BORABU,36,195,15.6%
MAJOGE CHACHE,27,212,11.3%
MAJOGE MASABA,60,235,20.3%
MOGONGA,1,33,2.9%
MOKWERERO,7,86,7.5%
MWAGICHANA,22,141,13.5%
MWAKIBAGENDI,1,124,0.8%
MWAMONARI,2,69,2.8%
NGENYI,62,190,24.6%
NORTH MASABA,30,181,14.2%
NYACHEKI,22,101,17.9%
NYAKEMBENE,17,158,9.7%
NYAKOE,28,125,18.3%
NYAMAGESA,28,148,15.9%
NYANGITI,9,50,15.3%
NYANGURU,,44,-
NYANSAKIA,7,66,9.6%
NYARIBARI CENTRAL,10,78,11.4%
NYARIBARI IRIANYI,19,125,13.2%
NYATIEKO,25,163,13.3%
OTENDO,5,90,5.3%
RAMASHA,11,89,11.0%
RIANA,14,169,7.7%
RIGENA,20,80,20.0%
SENGERA,30,241,11.1%
SENSI,5,49,9.3%
SOUTH MUGIRANGO BORABU,23,170,11.9%
SOUTH MUGIRANGO CENTRAL,31,167,15.7%
SOUTH MUGIRANGO CHACHE,48,238,16.8%
TENDERE,42,220,16.0%
TOWNSHIP,144,324,30.8%
Total,1575,8567,15.5%
